ogc_fid,dn,id,forest_gro,ecoregion_
1770893,"260","53",Fir/Spruce/Mountain Hemlock Group,Snake River Plain
1526940,"220","44",Ponderosa Pine Group,Southern California Mountains
3294949,"160","8",Loblolly/Shortleaf Pine Group,Piedmont
1271438,"180","36",Pinyon/Juniper Group,East Central Texas Plains
97587,"950","14",Other Western Hardwoods Group,Colorado Plateaus
396317,"600","1",Oak/Gum/Cypress Group,Southeastern Plains
1812725,"280","56",Lodgepole Pine Group,Northwestern Great Plains
2956713,"500","76",Oak/Hickory Group,Western Corn Belt Plains
3016995,"120","78",Spruce/Fir Group,Northeastern Coastal Zone
1806843,"950","55",Other Western Hardwoods Group,Willamette Valley
76561,"220","13",Ponderosa Pine Group,Canadian Rockies
2685267,"940","69",Tanoak/Laurel Group,Eastern Cascades Slopes and Foothills
75963,"700","13",Elm/Ash/Cottonwood Group,Canadian Rockies
1167394,"600","31",Oak/Gum/Cypress Group,Arkansas Valley
1526864,"920","44",Western Oak Group,Southern California Mountains
1101595,"180","28",Pinyon/Juniper Group,Nebraska Sand Hills
2738019,"370","70",California Mixed Conifer Group,Blue Mountains
2671241,"900","69",Aspen/Birch Group,Eastern Cascades Slopes and Foothills
2909764,"400","74",Oak/Pine Group,Southern Florida Coastal Plain
1167377,"500","31",Oak/Hickory Group,Arkansas Valley
1814161,"320","56",Western Larch Group,Northwestern Great Plains
3267595,"100","83",White/Red/Jack Pine Group,Lake Agassiz Plain
1097116,"700","26",Elm/Ash/Cottonwood Group,Huron/Erie Lake Plains
2902517,"160","73",Loblolly/Shortleaf Pine Group,North Central Appalachians
1445190,"600","41",Oak/Gum/Cypress Group,Interior Plateau
2670962,"200","69",Douglas-fir Group,Eastern Cascades Slopes and Foothills
3265294,"260","82",Fir/Spruce/Mountain Hemlock Group,Chihuahuan Deserts
1502414,"200","43",Douglas-fir Group,Cascades
1079642,"800","25",Maple/Beech/Birch Group,Central Corn Belt Plains
1812649,"900","56",Aspen/Birch Group,Northwestern Great Plains
310677,"180","18",Pinyon/Juniper Group,North Central Hardwood Forests
2700022,"700","6",Elm/Ash/Cottonwood Group,Northern Basin and Range
2738743,"950","70",Other Western Hardwoods Group,Blue Mountains
2278549,"200","63",Douglas-fir Group,Coast Range
2794975,"200","72",Douglas-fir Group,Middle Rockies
1504915,"360","43",Other Western Softwood Group,Cascades
378215,"370","19",California Mixed Conifer Group,Central California Foothills and Coastal Mountains
2303661,"360","63",Other Western Softwood Group,Coast Range
2697515,"180","6",Pinyon/Juniper Group,Northern Basin and Range
173131,"240","16",Western White Pine Group,Northern Rockies
102268,"700","14",Elm/Ash/Cottonwood Group,Colorado Plateaus
1257557,"400","34",Oak/Pine Group,Northern Minnesota Wetlands
1116852,"220","2",Ponderosa Pine Group,High Plains
1737563,"920","52",Western Oak Group,Klamath Mountains/California High North Coast Range
1422377,"160","40",Loblolly/Shortleaf Pine Group,Atlantic Coastal Pine Barrens
1564066,"700","48",Elm/Ash/Cottonwood Group,Acadian Plains and Hills
2763610,"500","71",Oak/Hickory Group,Ouachita Mountains
1989262,"500","5",Oak/Hickory Group,Northern Lakes and Forests
3174090,"990","79",Exotic Hardwoods Group,South Central Plains
2237447,"500","61",Oak/Hickory Group,Eastern Great Lakes Lowlands
3004614,"800","77",Maple/Beech/Birch Group,Northern Piedmont
1527052,"180","44",Pinyon/Juniper Group,Southern California Mountains
2909634,"500","74",Oak/Hickory Group,Southern Florida Coastal Plain
1501065,"990","42",Exotic Hardwoods Group,Southern Texas Plains
55644,"100","12",White/Red/Jack Pine Group,Blue Ridge
1858195,"600","57",Oak/Gum/Cypress Group,Central Great Plains
378292,"940","19",Tanoak/Laurel Group,Central California Foothills and Coastal Mountains
2278551,"300","63",Hemlock/Sitka Spruce Group,Coast Range
1187279,"920","32",Western Oak Group,Central Basin and Range
1129478,"990","30",Exotic Hardwoods Group,Mississippi Valley Loess Plains
1093120,"100","26",White/Red/Jack Pine Group,Huron/Erie Lake Plains
1770863,"220","53",Ponderosa Pine Group,Snake River Plain
1093121,"900","26",Aspen/Birch Group,Huron/Erie Lake Plains
2298886,"940","63",Tanoak/Laurel Group,Coast Range
1867280,"160","57",Loblolly/Shortleaf Pine Group,Central Great Plains
2956712,"700","76",Elm/Ash/Cottonwood Group,Western Corn Belt Plains
1101573,"700","28",Elm/Ash/Cottonwood Group,Nebraska Sand Hills
1295519,"180","37",Pinyon/Juniper Group,Mississippi Alluvial Plain
1914525,"120","59",Spruce/Fir Group,Northeastern Highlands
2938803,"700","75",Elm/Ash/Cottonwood Group,Wasatch and Uinta Mountains
1080271,"600","25",Oak/Gum/Cypress Group,Central Corn Belt Plains
1535466,"320","46",Western Larch Group,Northwestern Glaciated Plains
2899023,"800","73",Maple/Beech/Birch Group,North Central Appalachians
1654870,"220","4",Ponderosa Pine Group,Central Irregular Plains
1367049,"380","39",Exotic Softwoods Group,Central Appalachians
963986,"600","20",Oak/Gum/Cypress Group,Southwestern Appalachians
1323074,"360","38",Other Western Softwood Group,Idaho Batholith
2763608,"160","71",Loblolly/Shortleaf Pine Group,Ouachita Mountains
1126412,"700","30",Elm/Ash/Cottonwood Group,Mississippi Valley Loess Plains
1559612,"120","48",Spruce/Fir Group,Acadian Plains and Hills
3244655,"910","81",Alder/Maple Group,North Cascades
1660063,"100","4",White/Red/Jack Pine Group,Central Irregular Plains
1806937,"700","55",Elm/Ash/Cottonwood Group,Willamette Valley
338726,"380","18",Exotic Softwoods Group,North Central Hardwood Forests
1742681,"280","52",Lodgepole Pine Group,Klamath Mountains/California High North Coast Range
2027624,"380","5",Exotic Softwoods Group,Northern Lakes and Forests
1261089,"200","35",Douglas-fir Group,Columbia Plateau
1193223,"370","32",California Mixed Conifer Group,Central Basin and Range
2281915,"950","63",Other Western Hardwoods Group,Coast Range
76094,"300","13",Hemlock/Sitka Spruce Group,Canadian Rockies
1813243,"360","56",Other Western Softwood Group,Northwestern Great Plains
1872512,"920","58",Western Oak Group,Sierra Nevada
1989623,"700","5",Elm/Ash/Cottonwood Group,Northern Lakes and Forests
2913908,"360","75",Other Western Softwood Group,Wasatch and Uinta Mountains
164868,"220","16",Ponderosa Pine Group,Northern Rockies
241176,"500","17",Oak/Hickory Group,Ridge and Valley
3291183,"700","85",Elm/Ash/Cottonwood Group,Sonoran Basin and Range
1217242,"800","33",Maple/Beech/Birch Group,Ozark Highlands
1737807,"220","52",Ponderosa Pine Group,Klamath Mountains/California High North Coast Range
33825,"500","11",Oak/Hickory Group,Southern Michigan/Northern Indiana Drift Plains
1531989,"280","44",Lodgepole Pine Group,Southern California Mountains
1498721,"400","42",Oak/Pine Group,Southern Texas Plains
1357011,"180","38",Pinyon/Juniper Group,Idaho Batholith
2237443,"120","61",Spruce/Fir Group,Eastern Great Lakes Lowlands
378357,"200","19",Douglas-fir Group,Central California Foothills and Coastal Mountains
1699164,"900","50",Aspen/Birch Group,Mojave Basin and Range
2573069,"260","68",Fir/Spruce/Mountain Hemlock Group,Southern Rockies
1018140,"160","23",Loblolly/Shortleaf Pine Group,Erie Drift Plain
1098312,"500","27",Oak/Hickory Group,Boston Mountains
1422356,"600","40",Oak/Gum/Cypress Group,Atlantic Coastal Pine Barrens
1498816,"600","42",Oak/Gum/Cypress Group,Southern Texas Plains
2741311,"700","70",Elm/Ash/Cottonwood Group,Blue Mountains
981087,"100","21",White/Red/Jack Pine Group,Southeastern Wisconsin Till Plains
3266378,"900","83",Aspen/Birch Group,Lake Agassiz Plain
164930,"280","16",Lodgepole Pine Group,Northern Rockies
962794,"700","20",Elm/Ash/Cottonwood Group,Southwestern Appalachians
2533236,"990","66",Exotic Hardwoods Group,Southern Coastal Plain
2956833,"180","76",Pinyon/Juniper Group,Western Corn Belt Plains
1502413,"300","43",Hemlock/Sitka Spruce Group,Cascades
1102257,"920","29",Western Oak Group,Southwestern Tablelands
396225,"500","1",Oak/Hickory Group,Southeastern Plains
3505206,"200","9",Douglas-fir Group,Wyoming Basin
2448032,"400","66",Oak/Pine Group,Southern Coastal Plain
2448018,"500","66",Oak/Hickory Group,Southern Coastal Plain
164908,"320","16",Western Larch Group,Northern Rockies
3232160,"500","7",Oak/Hickory Group,Northern Glaciated Plains
1187205,"950","32",Other Western Hardwoods Group,Central Basin and Range
2897490,"920","72",Western Oak Group,Middle Rockies
1528443,"950","44",Other Western Hardwoods Group,Southern California Mountains
2265616,"260","62",Fir/Spruce/Mountain Hemlock Group,Puget Lowland
1502409,"910","43",Alder/Maple Group,Cascades
2912753,"260","75",Fir/Spruce/Mountain Hemlock Group,Wasatch and Uinta Mountains
2760494,"240","70",Western White Pine Group,Blue Mountains
3266421,"120","83",Spruce/Fir Group,Lake Agassiz Plain
1079693,"900","25",Aspen/Birch Group,Central Corn Belt Plains
1270953,"400","36",Oak/Pine Group,East Central Texas Plains
1264975,"300","35",Hemlock/Sitka Spruce Group,Columbia Plateau
2912752,"220","75",Ponderosa Pine Group,Wasatch and Uinta Mountains
1366993,"100","39",White/Red/Jack Pine Group,Central Appalachians
1511046,"220","43",Ponderosa Pine Group,Cascades
1876124,"910","58",Alder/Maple Group,Sierra Nevada
1116922,"400","2",Oak/Pine Group,High Plains
1422346,"800","40",Maple/Beech/Birch Group,Atlantic Coastal Pine Barrens
2912853,"280","75",Lodgepole Pine Group,Wasatch and Uinta Mountains
2956807,"100","76",White/Red/Jack Pine Group,Western Corn Belt Plains
3294952,"700","8",Elm/Ash/Cottonwood Group,Piedmont
201,"500","10",Oak/Hickory Group,Edwards Plateau
1080038,"400","25",Oak/Pine Group,Central Corn Belt Plains
1189724,"360","32",Other Western Softwood Group,Central Basin and Range
1627962,"400","4",Oak/Pine Group,Central Irregular Plains
2407420,"500","65",Oak/Hickory Group,Western Allegheny Plateau
1698560,"950","50",Other Western Hardwoods Group,Mojave Basin and Range
3412619,"140","8",Longleaf/Slash Pine Group,Piedmont
32068,"900","11",Aspen/Birch Group,Southern Michigan/Northern Indiana Drift Plains
186132,"360","16",Other Western Softwood Group,Northern Rockies
1745631,"300","52",Hemlock/Sitka Spruce Group,Klamath Mountains/California High North Coast Range
1322951,"260","38",Fir/Spruce/Mountain Hemlock Group,Idaho Batholith
3284577,"180","85",Pinyon/Juniper Group,Sonoran Basin and Range
1261849,"280","35",Lodgepole Pine Group,Columbia Plateau
3234828,"180","80",Pinyon/Juniper Group,Flint Hills
3006330,"160","77",Loblolly/Shortleaf Pine Group,Northern Piedmont
2265383,"280","62",Lodgepole Pine Group,Puget Lowland
2240594,"380","61",Exotic Softwoods Group,Eastern Great Lakes Lowlands
1988570,"180","59",Pinyon/Juniper Group,Northeastern Highlands
1535317,"920","45",Western Oak Group,Central California Valley
2956860,"400","76",Oak/Pine Group,Western Corn Belt Plains
1700976,"800","51",Maple/Beech/Birch Group,Driftless Area
75831,"200","13",Douglas-fir Group,Canadian Rockies
2671390,"300","69",Hemlock/Sitka Spruce Group,Eastern Cascades Slopes and Foothills
2447993,"160","66",Loblolly/Shortleaf Pine Group,Southern Coastal Plain
143981,"700","15",Elm/Ash/Cottonwood Group,Eastern Corn Belt Plains
3244711,"280","81",Lodgepole Pine Group,North Cascades
1434223,"400","41",Oak/Pine Group,Interior Plateau
1250229,"700","34",Elm/Ash/Cottonwood Group,Northern Minnesota Wetlands
1268218,"180","35",Pinyon/Juniper Group,Columbia Plateau
2912731,"900","75",Aspen/Birch Group,Wasatch and Uinta Mountains
1101796,"400","28",Oak/Pine Group,Nebraska Sand Hills
1502544,"260","43",Fir/Spruce/Mountain Hemlock Group,Cascades
2237450,"900","61",Aspen/Birch Group,Eastern Great Lakes Lowlands
991357,"700","22",Elm/Ash/Cottonwood Group,Texas Blackland Prairies
1701001,"900","51",Aspen/Birch Group,Driftless Area
981665,"400","21",Oak/Pine Group,Southeastern Wisconsin Till Plains
1389328,"360","3",Other Western Softwood Group,Arizona/New Mexico Mountains
1876627,"240","58",Western White Pine Group,Sierra Nevada
1700974,"500","51",Oak/Hickory Group,Driftless Area
164870,"260","16",Fir/Spruce/Mountain Hemlock Group,Northern Rockies
1698866,"260","50",Fir/Spruce/Mountain Hemlock Group,Mojave Basin and Range
2278563,"910","63",Alder/Maple Group,Coast Range
1250226,"120","34",Spruce/Fir Group,Northern Minnesota Wetlands
1771068,"180","53",Pinyon/Juniper Group,Snake River Plain
1112405,"950","29",Other Western Hardwoods Group,Southwestern Tablelands
3005242,"180","77",Pinyon/Juniper Group,Northern Piedmont
2909629,"140","74",Longleaf/Slash Pine Group,Southern Florida Coastal Plain
1187373,"260","32",Fir/Spruce/Mountain Hemlock Group,Central Basin and Range
1269713,"370","35",California Mixed Conifer Group,Columbia Plateau
1698573,"220","50",Ponderosa Pine Group,Mojave Basin and Range
1384911,"200","3",Douglas-fir Group,Arizona/New Mexico Mountains
3016581,"500","78",Oak/Hickory Group,Northeastern Coastal Zone
2573059,"200","68",Douglas-fir Group,Southern Rockies
1187631,"900","32",Aspen/Birch Group,Central Basin and Range
1878525,"950","58",Other Western Hardwoods Group,Sierra Nevada
1856527,"920","57",Western Oak Group,Central Great Plains
1079661,"380","25",Exotic Softwoods Group,Central Corn Belt Plains
396243,"400","1",Oak/Pine Group,Southeastern Plains
1101579,"220","28",Ponderosa Pine Group,Nebraska Sand Hills
3505321,"950","9",Other Western Hardwoods Group,Wyoming Basin
55623,"800","12",Maple/Beech/Birch Group,Blue Ridge
1105644,"800","29",Maple/Beech/Birch Group,Southwestern Tablelands
3072104,"500","79",Oak/Hickory Group,South Central Plains
1094743,"800","26",Maple/Beech/Birch Group,Huron/Erie Lake Plains
2407414,"800","65",Maple/Beech/Birch Group,Western Allegheny Plateau
2956732,"900","76",Aspen/Birch Group,Western Corn Belt Plains
3505556,"900","9",Aspen/Birch Group,Wyoming Basin
1806860,"300","55",Hemlock/Sitka Spruce Group,Willamette Valley
393490,"280","19",Lodgepole Pine Group,Central California Foothills and Coastal Mountains
1079650,"700","25",Elm/Ash/Cottonwood Group,Central Corn Belt Plains
1217239,"400","33",Oak/Pine Group,Ozark Highlands
3005929,"600","77",Oak/Gum/Cypress Group,Northern Piedmont
1281453,"140","36",Longleaf/Slash Pine Group,East Central Texas Plains
991353,"500","22",Oak/Hickory Group,Texas Blackland Prairies
1167379,"160","31",Loblolly/Shortleaf Pine Group,Arkansas Valley
2301312,"220","63",Ponderosa Pine Group,Coast Range
3507800,"920","9",Western Oak Group,Wyoming Basin
1367901,"400","39",Oak/Pine Group,Central Appalachians
1250225,"500","34",Oak/Hickory Group,Northern Minnesota Wetlands
1509275,"240","43",Western White Pine Group,Cascades
1698948,"200","50",Douglas-fir Group,Mojave Basin and Range
2447996,"140","66",Longleaf/Slash Pine Group,Southern Coastal Plain
1126411,"500","30",Oak/Hickory Group,Mississippi Valley Loess Plains
2700516,"360","6",Other Western Softwood Group,Northern Basin and Range
75843,"320","13",Western Larch Group,Canadian Rockies
1167537,"700","31",Elm/Ash/Cottonwood Group,Arkansas Valley
3004633,"700","77",Elm/Ash/Cottonwood Group,Northern Piedmont
2304903,"370","63",California Mixed Conifer Group,Coast Range
1559617,"100","48",White/Red/Jack Pine Group,Acadian Plains and Hills
1737642,"910","52",Alder/Maple Group,Klamath Mountains/California High North Coast Range
273458,"600","17",Oak/Gum/Cypress Group,Ridge and Valley
2675307,"700","69",Elm/Ash/Cottonwood Group,Eastern Cascades Slopes and Foothills
1270949,"160","36",Loblolly/Shortleaf Pine Group,East Central Texas Plains
2899032,"900","73",Aspen/Birch Group,North Central Appalachians
1422353,"700","40",Elm/Ash/Cottonwood Group,Atlantic Coastal Pine Barrens
1027225,"100","24",White/Red/Jack Pine Group,Interior River Valleys and Hills
2670975,"280","69",Lodgepole Pine Group,Eastern Cascades Slopes and Foothills
1569897,"400","48",Oak/Pine Group,Acadian Plains and Hills
1811330,"800","56",Maple/Beech/Birch Group,Northwestern Great Plains
3072149,"180","79",Pinyon/Juniper Group,South Central Plains
1102197,"180","29",Pinyon/Juniper Group,Southwestern Tablelands
164903,"900","16",Aspen/Birch Group,Northern Rockies
1879462,"700","58",Elm/Ash/Cottonwood Group,Sierra Nevada
55622,"500","12",Oak/Hickory Group,Blue Ridge
2676439,"370","69",California Mixed Conifer Group,Eastern Cascades Slopes and Foothills
2730892,"360","70",Other Western Softwood Group,Blue Mountains
1126564,"400","30",Oak/Pine Group,Mississippi Valley Loess Plains
3275363,"900","84",Aspen/Birch Group,Madrean Archipelago
2216893,"160","60",Loblolly/Shortleaf Pine Group,Northern Allegheny Plateau
1770958,"700","53",Elm/Ash/Cottonwood Group,Snake River Plain
2573049,"220","68",Ponderosa Pine Group,Southern Rockies
1699196,"920","50",Western Oak Group,Mojave Basin and Range
1384816,"600","39",Oak/Gum/Cypress Group,Central Appalachians
1116851,"700","2",Elm/Ash/Cottonwood Group,High Plains
1511337,"370","43",California Mixed Conifer Group,Cascades
1532569,"200","44",Douglas-fir Group,Southern California Mountains
1749009,"340","52",Redwood Group,Klamath Mountains/California High North Coast Range
2763609,"700","71",Elm/Ash/Cottonwood Group,Ouachita Mountains
3273679,"200","84",Douglas-fir Group,Madrean Archipelago
1539803,"370","47",California Mixed Conifer Group,Arizona/New Mexico Plateau
1933034,"380","59",Exotic Softwoods Group,Northeastern Highlands
1116714,"600","29",Oak/Gum/Cypress Group,Southwestern Tablelands
1772701,"500","54",Oak/Hickory Group,Cross Timbers
1914527,"800","59",Maple/Beech/Birch Group,Northeastern Highlands
97558,"920","14",Western Oak Group,Colorado Plateaus
1102207,"700","29",Elm/Ash/Cottonwood Group,Southwestern Tablelands
1922588,"700","59",Elm/Ash/Cottonwood Group,Northeastern Highlands
1698801,"370","50",California Mixed Conifer Group,Mojave Basin and Range
2912732,"200","75",Douglas-fir Group,Wasatch and Uinta Mountains
3264912,"900","82",Aspen/Birch Group,Chihuahuan Deserts
2573082,"360","68",Other Western Softwood Group,Southern Rockies
2729755,"300","70",Hemlock/Sitka Spruce Group,Blue Mountains
1323574,"300","38",Hemlock/Sitka Spruce Group,Idaho Batholith
979323,"140","20",Longleaf/Slash Pine Group,Southwestern Appalachians
1262745,"320","35",Western Larch Group,Columbia Plateau
3,"700","10",Elm/Ash/Cottonwood Group,Edwards Plateau
3072124,"160","79",Loblolly/Shortleaf Pine Group,South Central Plains
1422370,"500","40",Oak/Hickory Group,Atlantic Coastal Pine Barrens
75834,"260","13",Fir/Spruce/Mountain Hemlock Group,Canadian Rockies
1808386,"920","55",Western Oak Group,Willamette Valley
2718801,"200","70",Douglas-fir Group,Blue Mountains
2357655,"140","64",Longleaf/Slash Pine Group,Middle Atlantic Coastal Plain
3031680,"600","78",Oak/Gum/Cypress Group,Northeastern Coastal Zone
3271373,"920","84",Western Oak Group,Madrean Archipelago
1872397,"220","58",Ponderosa Pine Group,Sierra Nevada
2909975,"990","74",Exotic Hardwoods Group,Southern Florida Coastal Plain
1514603,"950","43",Other Western Hardwoods Group,Cascades
2214015,"500","60",Oak/Hickory Group,Northern Allegheny Plateau
1827999,"950","56",Other Western Hardwoods Group,Northwestern Great Plains
1323517,"950","38",Other Western Hardwoods Group,Idaho Batholith
55937,"700","12",Elm/Ash/Cottonwood Group,Blue Ridge
1126416,"600","30",Oak/Gum/Cypress Group,Mississippi Valley Loess Plains
1250220,"900","34",Aspen/Birch Group,Northern Minnesota Wetlands
3266397,"700","83",Elm/Ash/Cottonwood Group,Lake Agassiz Plain
1872418,"260","58",Fir/Spruce/Mountain Hemlock Group,Sierra Nevada
3295224,"600","8",Oak/Gum/Cypress Group,Piedmont
2899024,"500","73",Oak/Hickory Group,North Central Appalachians
962628,"500","20",Oak/Hickory Group,Southwestern Appalachians
298394,"900","18",Aspen/Birch Group,North Central Hardwood Forests
3266418,"800","83",Maple/Beech/Birch Group,Lake Agassiz Plain
378455,"260","19",Fir/Spruce/Mountain Hemlock Group,Central California Foothills and Coastal Mountains
1527084,"370","44",California Mixed Conifer Group,Southern California Mountains
1098313,"180","27",Pinyon/Juniper Group,Boston Mountains
241288,"400","17",Oak/Pine Group,Ridge and Valley
1516852,"180","43",Pinyon/Juniper Group,Cascades
1001686,"400","23",Oak/Pine Group,Erie Drift Plain
1831594,"500","57",Oak/Hickory Group,Central Great Plains
2279315,"280","63",Lodgepole Pine Group,Coast Range
1038050,"220","24",Ponderosa Pine Group,Interior River Valleys and Hills
1872560,"280","58",Lodgepole Pine Group,Sierra Nevada
1209625,"240","32",Western White Pine Group,Central Basin and Range
1116717,"160","29",Loblolly/Shortleaf Pine Group,Southwestern Tablelands
2237511,"400","61",Oak/Pine Group,Eastern Great Lakes Lowlands
98102,"360","14",Other Western Softwood Group,Colorado Plateaus
1533369,"260","44",Fir/Spruce/Mountain Hemlock Group,Southern California Mountains
3271244,"180","84",Pinyon/Juniper Group,Madrean Archipelago
1025437,"600","24",Oak/Gum/Cypress Group,Interior River Valleys and Hills
2214732,"380","60",Exotic Softwoods Group,Northern Allegheny Plateau
1367007,"700","39",Elm/Ash/Cottonwood Group,Central Appalachians
2910807,"700","74",Elm/Ash/Cottonwood Group,Southern Florida Coastal Plain
3505595,"700","9",Elm/Ash/Cottonwood Group,Wyoming Basin
1098542,"600","27",Oak/Gum/Cypress Group,Boston Mountains
1701053,"700","51",Elm/Ash/Cottonwood Group,Driftless Area
2573071,"280","68",Lodgepole Pine Group,Southern Rockies
2698768,"950","6",Other Western Hardwoods Group,Northern Basin and Range
3245601,"320","81",Western Larch Group,North Cascades
1621450,"700","4",Elm/Ash/Cottonwood Group,Central Irregular Plains
2794970,"220","72",Ponderosa Pine Group,Middle Rockies
3234238,"400","7",Oak/Pine Group,Northern Glaciated Plains
3244662,"300","81",Hemlock/Sitka Spruce Group,North Cascades
981042,"700","21",Elm/Ash/Cottonwood Group,Southeastern Wisconsin Till Plains
1772706,"700","54",Elm/Ash/Cottonwood Group,Cross Timbers
1393254,"950","3",Other Western Hardwoods Group,Arizona/New Mexico Mountains
2488686,"800","66",Maple/Beech/Birch Group,Southern Coastal Plain
3016583,"400","78",Oak/Pine Group,Northeastern Coastal Zone
1322944,"320","38",Western Larch Group,Idaho Batholith
165123,"950","16",Other Western Hardwoods Group,Northern Rockies
1380589,"160","39",Loblolly/Shortleaf Pine Group,Central Appalachians
286957,"140","17",Longleaf/Slash Pine Group,Ridge and Valley
1093161,"500","26",Oak/Hickory Group,Huron/Erie Lake Plains
1292580,"400","37",Oak/Pine Group,Mississippi Alluvial Plain
3232157,"800","7",Maple/Beech/Birch Group,Northern Glaciated Plains
97212,"950","13",Other Western Hardwoods Group,Canadian Rockies
1739890,"260","52",Fir/Spruce/Mountain Hemlock Group,Klamath Mountains/California High North Coast Range
991433,"600","22",Oak/Gum/Cypress Group,Texas Blackland Prairies
3505205,"180","9",Pinyon/Juniper Group,Wyoming Basin
1989268,"900","5",Aspen/Birch Group,Northern Lakes and Forests
1206538,"280","32",Lodgepole Pine Group,Central Basin and Range
1098311,"160","27",Loblolly/Shortleaf Pine Group,Boston Mountains
2719184,"320","70",Western Larch Group,Blue Mountains
1385312,"900","3",Aspen/Birch Group,Arizona/New Mexico Mountains
2320160,"400","64",Oak/Pine Group,Middle Atlantic Coastal Plain
962638,"800","20",Maple/Beech/Birch Group,Southwestern Appalachians
1118425,"200","2",Douglas-fir Group,High Plains
143353,"100","15",White/Red/Jack Pine Group,Eastern Corn Belt Plains
3004867,"100","77",White/Red/Jack Pine Group,Northern Piedmont
1702828,"380","51",Exotic Softwoods Group,Driftless Area
54705,"600","11",Oak/Gum/Cypress Group,Southern Michigan/Northern Indiana Drift Plains
1683994,"160","4",Loblolly/Shortleaf Pine Group,Central Irregular Plains
299534,"400","18",Oak/Pine Group,North Central Hardwood Forests
2407504,"700","65",Elm/Ash/Cottonwood Group,Western Allegheny Plateau
1772182,"360","53",Other Western Softwood Group,Snake River Plain
1831593,"700","57",Elm/Ash/Cottonwood Group,Central Great Plains
1102263,"220","29",Ponderosa Pine Group,Southwestern Tablelands
1610125,"140","49",Longleaf/Slash Pine Group,Western Gulf Coastal Plain
1741063,"240","52",Western White Pine Group,Klamath Mountains/California High North Coast Range
1738127,"370","52",California Mixed Conifer Group,Klamath Mountains/California High North Coast Range
2680564,"240","69",Western White Pine Group,Eastern Cascades Slopes and Foothills
1324626,"900","38",Aspen/Birch Group,Idaho Batholith
1807690,"260","55",Fir/Spruce/Mountain Hemlock Group,Willamette Valley
252995,"180","17",Pinyon/Juniper Group,Ridge and Valley
2912777,"920","75",Western Oak Group,Wasatch and Uinta Mountains
2697512,"220","6",Ponderosa Pine Group,Northern Basin and Range
2311373,"180","63",Pinyon/Juniper Group,Coast Range
1507597,"700","43",Elm/Ash/Cottonwood Group,Cascades
3244691,"260","81",Fir/Spruce/Mountain Hemlock Group,North Cascades
143556,"500","15",Oak/Hickory Group,Eastern Corn Belt Plains
433580,"140","1",Longleaf/Slash Pine Group,Southeastern Plains
1025061,"700","24",Elm/Ash/Cottonwood Group,Interior River Valleys and Hills
2741304,"900","70",Aspen/Birch Group,Blue Mountains
2956716,"800","76",Maple/Beech/Birch Group,Western Corn Belt Plains
1577950,"500","48",Oak/Hickory Group,Acadian Plains and Hills
1780721,"160","54",Loblolly/Shortleaf Pine Group,Cross Timbers
97572,"200","14",Douglas-fir Group,Colorado Plateaus
2320176,"160","64",Loblolly/Shortleaf Pine Group,Middle Atlantic Coastal Plain
3092722,"140","79",Longleaf/Slash Pine Group,South Central Plains
3235407,"400","80",Oak/Pine Group,Flint Hills
